old,new,batch,evidence
slot_b,page_home_slot_b,page,app\src\main\java\com\qimian233\ztool\data\home\HomeRepository.kt
soft_reboot,page_home_soft_reboot,page,app\src\main\java\com\qimian233\ztool\viewmodel\HomeViewModel.kt
soft_reboot_confirm_message,page_home_soft_reboot_confirm_message,page,app\src\main\java\com\qimian233\ztool\viewmodel\HomeViewModel.kt
sp_unit,system_ui_common_sp_unit,scope,app\src\main\java\com\qimian233\ztool\screens\systemui\controlcenter\ControlCenterSettingsScreen.kt;app\src\main\java\com\qimian233\ztool\screens\systemui\statusbar\StatusBarSettingsScreen.kt
splash_logo_description,common_splash_logo_description,common,app\src\main\java\com\qimian233\ztool\screens\ztoolsettings\about\SettingsAboutRoute.kt;app\src\main\java\com\qimian233\ztool\ui\firstrun\FirstrunAgreementRoute.kt
splash_slogan,common_splash_slogan,common,app\src\main\AndroidManifest.xml;app\src\main\java\com\qimian233\ztool\screens\ztoolsettings\about\SettingsAboutRoute.kt;app\src\main\java\com\qimian233\ztool\ui\firstrun\FirstrunAgreementRoute.kt
splash_welcome_text,page_firstrun_splash_welcome_text,page,app\src\main\java\com\qimian233\ztool\ui\firstrun\FirstrunAgreementRoute.kt
split_screen_config_header,settings_split_screen_config_header,scope,app\src\main\java\com\qimian233\ztool\screens\zuisetting\magicwindowsearch\searchPage.kt
statusBarBatteryTitle,system_ui_status_bar_battery_title,scope,app\src\main\java\com\qimian233\ztool\screens\systemui\statusbar\StatusBarSettingsScreen.kt
statusBarNetworkHideBothSummary,system_ui_status_bar_network_hide_both_summary,scope,app\src\main\java\com\qimian233\ztool\screens\systemui\statusbar\StatusBarSettingsScreen.kt
statusBarNetworkHideBothTitle,system_ui_status_bar_network_hide_both_title,scope,app\src\main\java\com\qimian233\ztool\screens\systemui\statusbar\StatusBarSettingsScreen.kt
statusBarNetworkHideSlowSummary,system_ui_status_bar_network_hide_slow_summary,scope,app\src\main\java\com\qimian233\ztool\screens\systemui\statusbar\StatusBarSettingsScreen.kt
